code,name,group,latitude,longitude,n_records
K1,"St. George",Staten Island Transect,40.63188,-74.08772,
K2,"Shooter Island",Staten Island Transect,40.61863,-74.15917,
K3,"A & K Railroad Bridge",Staten Island Transect,40.61375,-74.20301,
K4,"Fresh Kills",Staten Island Transect,40.54153,-74.21993,
K5,"Tottenville",Staten Island Transect,40.48277,-74.26644,
K5A,"Raritan River",Staten Island Transect,40.45926,-74.25492,
K6,"Old Orchard Light",Staten Island Transect,40.49238,-74.10632,
N1,"Mt. St. Vincent",Hudson Transect,40.89921,-73.92178,
N3B,"W. 125th Street",Hudson Transect,40.80505,-73.96913,
N4,"W. 42nd Street",Hudson Transect,40.74651,-74.01088,
N5,"Pier A - The Battery",Hudson Transect,40.68666,-74.03547,
N6,"Bell Buoy "31"",Hudson Transect,40.64683,-74.05535,
G2,"Gowanus Canal",Hudson Transect,40.65113,-74.00866,
N7,"Robbins Reef Buoy "28"",Hudson Transect,40.62614,-74.0591,
N8,"The Narrows",Hudson Transect,40.5876,-74.05134,
N9,"Steeplechase Pier",Hudson Transect,40.55527,-73.98641,
N16,"Rockaway Point",Hudson Transect,40.51754,-73.94624,
H3,"E 155th Street",Harlem River,40.81501,-73.93771,
E2,"E 23rd Street",East River,40.71996,-73.97361,
E4,"Hell Gate",East River,40.76891,-73.92516,
E6,"Flushing Bay",East River,40.77459,-73.86417,
E7,"Whitestone Bridge",East River,40.79702,-73.82325,
E8,"Throgs Neck Bridge",East River,40.79381,-73.78606,
E10,"Hart Island",East River,40.83638,-73.76809,
E11,"Little Neck Bay",East River,40.78206,-73.76504,
E12,"Eastchester Bay Buoy N6",East River,40.84564,-73.81197,
E13,"Westchester Creek Buoy N2",East River,40.79679,-73.84327,
E14,"Mouth of Bronx River Buoy N2",East River,40.78997,-73.86803,
E15,"Flushing Bay South Buoy N2",East River,40.75391,-73.85266,
J1,"Rockaway Inlet",Jamaica Bay,40.56349,-73.88634,
J2,"Mill Basin",Jamaica Bay,40.59951,-73.88741,
J3,"Canarsie Pier",Jamaica Bay,40.61657,-73.88556,
J5,"Railroad Trestle",Jamaica Bay,40.59176,-73.81112,
J7,"Bergen Basin",Jamaica Bay,40.63861,-73.82272,
J8,"Spring Creek",Jamaica Bay,40.63435,-73.85321,
J9A,"Fresh Creek Buoy "C21"",Jamaica Bay,40.62414,-73.8751,
J10,"Paerdegat Basin",Jamaica Bay,40.6118,-73.89699,
J11,"Sheepshead Bay",Jamaica Bay,40.56979,-73.93307,
J12,"Grassy Bay",Jamaica Bay,40.6273,-73.80743,
JA1,"Jamaica WWTP Outfall",Jamaica Bay,40.63614,-73.81508,
N9A,"Coney Island Outfall",Jamaica Bay,40.55684,-73.93779,
J14,"West of Broad Channel",Jamaica Bay Interior,40.60245,-73.8245,
J16,"Horse Channel",Jamaica Bay Interior,40.60337,-73.85025,
J18,"Pumpkin Patch",Jamaica Bay Interior,40.6127,-73.84742,
AC1,"Alley Creek & Northern Blvd",Tributary,40.75992,-73.75448,
AC2,"Alley Creek Outfall",Tributary,40.75718,-73.75257,
BB2,"Head of Bergen Basin",Tributary,40.65412,-73.82372,
BB4,"Mouth of Bergen Basin",Tributary,40.64484,-73.8256,
BR1,"233rd St & Bronx River",Tributary,40.88124,-73.86738,
BR3,"Westchester Ave & Bronx River",Tributary,40.81304,-73.88908,
BR5,"Mouth of Bronx River",Tributary,40.8038,-73.87475,
CIC2,"Cropsey Ave & Coney Island Creek",Tributary,40.56862,-73.98836,
CIC3,"Coney Island Creek",Tributary,40.56605,-73.99789,
F1,"Fresh Creek Outfall",Tributary,40.6335,-73.88657,
F5,"Mouth of Fresh Creek",Tributary,40.62877,-73.88179,
FB1,"Flushing Bay North",Tributary,40.76227,-73.85554,
FLC1,"Flushing Creek",Tributary,40.75308,-73.84026,
FLC2,"Mouth of Flushing Creek",Tributary,40.75559,-73.84694,
GB1,"Gravesend Bay",Tributary,40.58496,-74.01701,
GC3,"Union Street Bridge",Tributary,40.66683,-73.9906,
GC4,"Carroll Street Bridge",Tributary,40.66391,-73.99249,
GC5,"3rd Street Bridge",Tributary,40.66091,-73.9963,
GC6,"9th Street Bridge",Tributary,40.65856,-74.00105,
HC1,"Hendrix Creek Head",Tributary,40.64433,-73.88184,
HC2,"Hendrix at 26th Ward Outfall",Tributary,40.64093,-73.87897,
HC3,"Hendrix Creek under Belt Pkwy",Tributary,40.63757,-73.87515,
HR1,"Bartow Av Br & Hutchinson River Pkwy",Tributary,40.85779,-73.8244,
HR2,"Boston Rd Br & Conner Ave",Tributary,40.87883,-73.82829,
HR03,"Conner Street Pump Station",Tributary,40.87056,-73.82349,
LN1,"Little Neck Bay South",Tributary,40.77295,-73.76311,
NC0,"English Kills",Tributary,40.70124,-73.93542,
NC0B,"Grand Ave & Newtown Creek",Tributary,40.70376,-73.92685,
NC1,"Maspeth Creek",Tributary,40.71132,-73.93164,
NC2,"Amoco Tank Farm",Tributary,40.71591,-73.93928,
NC3,"Whale Creek",Tributary,40.72386,-73.95075,
PB2,"Middle of Paerdegat Basin",Tributary,40.61811,-73.91321,
PB3,"Mouth of Paerdegat Basin",Tributary,40.61493,-73.90558,
SP1,"Spring Creek under Belt Pkwy",Tributary,40.64589,-73.86373,
SP2,"Spring Creek",Tributary,40.63767,-73.85799,
TB1,"Thurston Basin",Tributary,40.63996,-73.74836,
TB2,"Thurston Basin Mouth",Tributary,40.63289,-73.74834,
WC1,"WC Bruckner & Cross BX Exps",Tributary,40.81862,-73.84525,
WC2,"South Bound Hutchinson Pkwy",Tributary,40.82936,-73.84242,
WC3,"Buoy "10"",Tributary,40.80443,-73.84615,